Chi(%),Avg UE Throughput(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy
0.5800000000000004,727.564161578495,3.870641339597594E-5,0.46223030108183194,0.0,0.6377696989181684,NaN
0.5850000000000004,736.0715397361566,3.915900591396353E-5,0.4764988856187439,0.0,0.6235011143812562,NaN
0.5900000000000004,714.3076339327146,3.800116612522041E-5,0.49608777316097213,0.0,0.603912226839028,NaN
0.5950000000000004,736.650973953823,3.9189831814343385E-5,0.47979701381528567,0.0,0.6202029861847144,NaN
0.6000000000000004,702.1279173458429,4.002129128871305E-5,0.4232394651150547,0.0,0.6767605348849453,NaN
0.6050000000000004,673.8884484165425,3.841164155974292E-5,0.4645866574474414,0.0,0.6354133425525588,NaN
0.6100000000000004,710.7833289385845,4.051464974949932E-5,0.45449235808675326,0.0,0.6455076419132466,NaN
0.6150000000000004,705.9942431895681,4.0241671861805383E-5,0.47730603472361255,0.0,0.6226939652763874,NaN
0.6200000000000004,704.0258669205576,4.012947441447179E-5,0.4420735711869102,0.0,0.6579264288130898,NaN
0.6250000000000004,703.4223636800916,4.0095074729765224E-5,0.43511801066767114,0.0,0.664881989332329,NaN
0.6300000000000004,695.6158256621882,3.965010206274472E-5,0.44926274991357273,0.0,0.6507372500864272,NaN
0.6350000000000005,686.227889327555,3.911498969167063E-5,0.44254934831201914,0.0,0.6574506516879809,NaN
0.6400000000000005,667.7923090276805,4.060177238888298E-5,0.42255987385727617,0.0,0.6774401261427239,NaN
0.6450000000000005,682.5249561295327,4.149751733267559E-5,0.4198437284679821,0.0,0.6801562715320177,NaN
0.6500000000000005,665.1962082008952,4.044392945861443E-5,0.42520403943703905,0.0,0.6747959605629608,NaN
0.6550000000000005,673.0328706618911,4.0920398536242976E-5,0.4249871718717836,0.0,0.6750128281282164,NaN
0.6600000000000005,643.1812332134857,3.910541897937993E-5,0.4275025234027582,0.0,0.6724974765972418,NaN
0.6650000000000005,665.0566748649595,4.043544583178954E-5,0.4153152658341462,0.0,0.6846847341658538,NaN
0.6700000000000005,669.2868682663461,4.069264159059384E-5,0.4272698936049572,0.0,0.6727301063950428,NaN
0.6750000000000005,678.9948714436887,4.128288818377627E-5,0.43352768725393337,0.0,0.6664723127460667,NaN
0.6800000000000005,629.174380236747,4.064466496329386E-5,0.4086564639527418,0.0,0.6913435360472584,NaN
0.6850000000000005,627.9213615816901,4.0563719958177186E-5,0.40772501222539487,0.0,0.6922749877746049,NaN
